0, 0, Header, 1, 9, 120
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, MIDI_port, 0
1, 0, System_exclusive, 5, 126, 127, 9, 1, 247
1, 0, MIDI_port, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 545455
1, 0, Marker_t, "untitled"
1, 480, Marker_t, "General MIDI Authoring Template"
1, 480, Marker_t, "Copyright © 1996 by B Bundy"
1, 480, Marker_t, "B Bundy"
1, 480, Marker_t, "Use this template to create new GM compatiable MIDI files."
1, 480, Marker_t, "MIDI file publishers and hardware manufacturers, such as Roland Corp. and Tune 1000 have introduced more detailed conventions f"
1, 480, Marker_t, "Song Tempo should remain within the range of 30-240bpm\012"
1, 480, Marker_t, "MIDI Channel          Recommended Instrumentation\012"
1, 480, Marker_t, "1                              Piano Solo (Left & Right Hand)\012"
1, 480, Marker_t, "2                              Bass Instrument\012"
1, 480, Marker_t, "3                              Primary Accompaniment (or for Left-hand part when using split Piano parts)\012"
1, 480, Marker_t, "4                              Primary Melodic Instrument* (or for Right-hand part when using split Piano parts)\012"
1, 480, Marker_t, "5                              Secondary Accompaniment\012"
1, 480, Marker_t, "6                              Secondary Melodic Instrument\012"
1, 480, Marker_t, "7                              Alternative 1\012"
1, 480, Marker_t, "8                              Alternative 2\012"
1, 480, Marker_t, "9                              Alternative 3\012"
1, 480, Marker_t, "10                            Drums & Percussion\012"
1, 480, Marker_t, "11                           --Reserved-- \012"
1, 480, Marker_t, "12                           --Reserved--\012"
1, 480, Marker_t, "13                           --Reserved--\012"
1, 480, Marker_t, "14                           --Reserved--\012"
1, 480, Marker_t, "15                           --Reserved--\012"
1, 480, Marker_t, "16                           --Reserved--\012"
1, 480, Marker_t, "5years/Bowie......BBundy"
1, 480, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 122, Program_c, 0, 1
2, 123, Control_c, 0, 7, 110
2, 123, Control_c, 0, 10, 40
2, 6240, Note_on_c, 0, 67, 127
2, 6240, Note_on_c, 0, 60, 127
2, 6240, Note_on_c, 0, 64, 127
2, 6240, Control_c, 0, 64, 127
2, 6850, Note_on_c, 0, 67, 0
2, 6855, Note_on_c, 0, 60, 0
2, 6863, Note_on_c, 0, 64, 0
2, 7200, Note_on_c, 0, 60, 127
2, 7200, Note_on_c, 0, 64, 127
2, 7200, Note_on_c, 0, 57, 127
2, 7865, Note_on_c, 0, 64, 0
2, 7867, Note_on_c, 0, 60, 0
2, 7872, Note_on_c, 0, 57, 0
2, 8160, Note_on_c, 0, 62, 127
2, 8160, Note_on_c, 0, 69, 127
2, 8160, Note_on_c, 0, 66, 127
2, 8779, Note_on_c, 0, 69, 0
2, 8800, Note_on_c, 0, 66, 0
2, 8806, Note_on_c, 0, 62, 0
2, 9120, Note_on_c, 0, 65, 127
2, 9120, Note_on_c, 0, 72, 127
2, 9120, Note_on_c, 0, 69, 127
2, 9802, Note_on_c, 0, 72, 0
2, 9807, Note_on_c, 0, 65, 0
2, 9812, Note_on_c, 0, 69, 0
2, 10080, Note_on_c, 0, 64, 127
2, 10080, Note_on_c, 0, 67, 127
2, 10080, Note_on_c, 0, 60, 127
2, 10690, Note_on_c, 0, 67, 0
2, 10695, Note_on_c, 0, 60, 0
2, 10703, Note_on_c, 0, 64, 0
2, 11040, Note_on_c, 0, 64, 127
2, 11040, Note_on_c, 0, 57, 127
2, 11040, Note_on_c, 0, 60, 127
2, 11705, Note_on_c, 0, 64, 0
2, 11707, Note_on_c, 0, 60, 0
2, 11712, Note_on_c, 0, 57, 0
2, 12000, Note_on_c, 0, 62, 127
2, 12000, Note_on_c, 0, 66, 127
2, 12000, Note_on_c, 0, 69, 127
2, 12619, Note_on_c, 0, 69, 0
2, 12640, Note_on_c, 0, 66, 0
2, 12646, Note_on_c, 0, 62, 0
2, 12960, Note_on_c, 0, 65, 127
2, 12960, Note_on_c, 0, 69, 127
2, 12960, Note_on_c, 0, 72, 127
2, 13642, Note_on_c, 0, 72, 0
2, 13647, Note_on_c, 0, 65, 0
2, 13652, Note_on_c, 0, 69, 0
2, 13937, Note_on_c, 0, 60, 127
2, 13939, Note_on_c, 0, 64, 127
2, 13941, Note_on_c, 0, 67, 127
2, 14569, Note_on_c, 0, 60, 0
2, 14571, Note_on_c, 0, 67, 0
2, 14572, Note_on_c, 0, 64, 0
2, 14630, Note_on_c, 0, 67, 127
2, 14631, Note_on_c, 0, 60, 127
2, 14631, Note_on_c, 0, 64, 127
2, 14703, Note_on_c, 0, 60, 0
2, 14708, Note_on_c, 0, 64, 0
2, 14711, Note_on_c, 0, 67, 0
2, 14722, Note_on_c, 0, 67, 127
2, 14722, Note_on_c, 0, 60, 127
2, 14724, Note_on_c, 0, 64, 127
2, 14770, Note_on_c, 0, 67, 0
2, 14773, Note_on_c, 0, 60, 0
2, 14774, Note_on_c, 0, 64, 0
2, 14805, Note_on_c, 0, 59, 127
